	review_contents	review_numbers	review_scores	review_weekdays	company_name	sentiment_compound
0	            Fast and easy.        	                1	5	Monday	agoda	neutral
1	            They charged my card 4 days before they said they would.  I tried to call and was on hold for an hour, never got to speak to anyone.  Bad business.  Seriously upset, not to mention appalled.  Charging someones card before they promised is a crime.  I had no intention of paying with that card, only to reserve.        	                1	1	Monday	agoda	negative
2	            Always best prices        	                9	5	Monday	agoda	positive
3	            the parking is not free        	                1	3	Monday	agoda	neutral
4	            nice review!!        	                1	5	Monday	agoda	positive
5	            Agoda is helful in settle its programs. Many option which make the customer feel Easy to make a decision.        	                1	4	Monday	agoda	neutral
6	            Agoda made an error with my booking and I had no way to contact them as no one answers the phone number and they never reply to your emails.        	                2	1	Monday	agoda	negative
7	            Agoda is the best        	                1	5	Monday	agoda	positive
8	            Easy to book a room.        	                1	5	Sunday	agoda	neutral
9	            Very Good place        	                1	5	Sunday	agoda	neutral
10	            Goog price and everyone are there booking easy.        	                1	5	Sunday	agoda	neutral
11	            so disappointed with agoda, never again booking hotel via this apps. I already paid the bills but when check in, the hotel rejected me because they didn't received an email from agoda. its okay, its ONLY 179K. may the God forgives the people behind Agoda :)        	                1	1	Sunday	agoda	positive
12	            Super easy booking and most cheap price for hotels.        	                1	5	Sunday	agoda	positive
13	            USER FRIENDLY APPLICATION AND WEBSITE.        	                1	5	Sunday	agoda	neutral
14	            It's the perfect experience to book a hotel in Singapore.        	                1	5	Sunday	agoda	positive
15	            great apps. Very usefull for traveler like me        	                1	5	Sunday	agoda	positive
16	            Easy to do hotelbooking        	                1	5	Saturday	agoda	neutral
17	            Easy to use, best prices!        	                2	5	Saturday	agoda	positive
18	            Sweet discount!        	                1	5	Saturday	agoda	positive
19	            Hiccups happen and it's nice to speak with someone when that happens.  The listed number for Agoda on their website is 866-656-8207 which will place you on hold indefinitely.  Twice I waited on hold for nearly an hour before giving up.However, they have another number which someone answers right away and I found them quite helpful.  Try 929-270-4044 instead.        	                1	3	Friday	agoda	positive
20	            Disgusted - don't use themI've just arrived at a hotel for a 2 night stay only to find that Agoda have cancelled the booking - without informing me. Tried their customer service department (via an automated system) only to be told the booking was cancelled and to email if I wasn't happy.....Absolutely shocking and will never use them again. I'd also advise others to be wary.        	                1	1	Friday	agoda	negative
21	            My favorite reservation site. Very good!!        	                1	5	Friday	agoda	positive
22	            Agoda has first charged my card without my permission then cancelled my booking and I told me that money will be refunded in with 15 days. nothing has been done till 17 days, am still waiting for my money. Pathetic thing is no one is calling or responding on the refund. at the time of booking they call 5 to 10 times to share card details. this is the most terrible service I have ever seen.   Here is my Agoda Booking ID 315356285        	                1	1	Friday	agoda	negative
23	            good service        	                1	5	Friday	agoda	neutral
24	            Proven to be the cheapest price among others based on comparison I made my own.        	                1	5	Thursday	agoda	neutral
25	            Best online hotels booking in Asia.        	                1	5	Thursday	agoda	positive
26	"            Site is confusing, selected correct dates from calendar, confirmation showed wrong dates, logged in to change dates, site said correct dates ""not available"", then i ""see"" their ""no cancellation"" policy, call their customer service #, on hold a long time; Agoda representative won't speak to me because reservation is in husband's name.  He's aged and sight/hearing impaired ... they used this excuse (I have to put him on the phone to cancel.) as their ""reason"" for keeping my $.  Agoda is the worst in site management, service, and a waste of time. I warn everyone - find another service that wants to be of service rather than waste your time and take you money for NO REASON but they're a rip off.        "	                1	1	Thursday	agoda	negative
27	            Very BAD! Everything that could go wrong, went wrong!never a solution, never an answer, never a reaction on our complaint.We booked a room for 7 nights but two nights there was no room for us!No help, no raction, nothing!NEVER, NEVER AGAIN AGODA!        	                1	1	Thursday	agoda	negative
28	            Like it agoda        	                1	5	Thursday	agoda	neutral
29	            help me to find a suitable hotel quickly        	                1	4	Thursday	agoda	neutral
30	            easy and fast        	                1	4	Thursday	agoda	neutral
31	            Convenience with high reliability.        	                1	5	Thursday	agoda	neutral
32	            It's the best price for me, cheaper than the others!!!        	                1	5	Thursday	agoda	positive
33	            I really like using Agoda. I have always booked my trips from booking before but after my Berlin experience with you guys, I am continuing to book from both you and Booking now, whichever suits. Thank you for your services.        	                1	5	Wednesday	agoda	positive
34	            Agoda advertised a room on their website that didn't exist at the hotel. Instead of a twin room i was being checked-in to a room with a bunk bed. When i contacted Agoda they said that i couldn't get my money back or change room because the hotel policy doesn't let you cancel the reservation on the day of arrival.. (this seems obvious to me, however how can i know that i'm getting checked in a bunk bed room). I've now been battling with Agoda to get my money back (i had to book another hotel for that same evening). Until now this resulted in 4 hours on the phone, 1 long chat session with their helpdesk and 2 emails and no solution yet. This is really the worst experience i've ever had.A simular case i had with booking.com was resolved within a 5 minutes phone call (full cashback without any issues).        	                1	1	Wednesday	agoda	negative
35	            convenient to find the good price accommodation        	                1	4	Wednesday	agoda	neutral
36	            Always nice for my trip        	                1	5	Wednesday	agoda	neutral
37	            Efficient and helpful        	                1	4	Wednesday	agoda	positive
38	            Nice service        	                1	5	Wednesday	agoda	neutral
