	review_contents	review_numbers	review_scores	review_weekdays	company_name	sentiment_compound
0	            Booked a hotel through booking.com and a deposit was taken upon booking. There free cancellation. When I cancelled the booking the hotel claimed they returned my deposit but it has not been returned. I sent all me credit card statements to booking. com to prove they had taken my deposit and not returned it and got no satisfaction. Will not be using booking.com again.        	                1	1	Tuesday	booking	positive
1	            The entire platform is extremely easy to use and there are many different categories you can choose from in order to see which accommodation suits you the best! A+ for the support team        	                3	5	Monday	booking	positive
2	            Unfortunately, you must very careful during the booking process, and WHAT you book!!!booking.com lists not all hotels with the correct names which you can find in Google map.The booking process is quickly and easy.        	                1	2	Sunday	booking	positive
3	"            Only used them once and very dissapointed. I logged a complaint that the company I booked a room with  'express-o-rooms' not only would not allow me in the room at 9pm! stating it 'was not finished' and to come back later but I was sent to a different address to the one stated on booking.coms site but I was eventually put up in a converted garage!Booking made lots of noises of sympathy saying they would send me an email address so I could attach photos etc. The only thing they sent was an email saying I was ""given a room outside of the house"". Yes a Bloody garage. Totally ignored all the other points and end of the matter as far as they were concerned. Only interested in making money and NOT willing to realistically follow up the other numerous complains and false advertising on thier website made about 'express-o-rooms'.        "	                6	1	Sunday	booking	neutral
4	            Please be aware if your flight is cancelled they won't be able to refund for the booked hotel. Total Fiasco. won't use them again. Also found out their prices are higuer compared to other sites. COMPANIES THAT DON'T LISTEN WILL DIE... Tick Tock        	                9	1	Saturday	booking	neutral
5	"            We booked milford sound trip from booking.co.nz.We started our trip but my daughter got sick on the way and have to go back immediately from te anau  by different transport . We requested refund as we neither did milfrd sound trip nor taken return from the same company and paid separately to another company transport for return. We contacted tour company ""Milford Select"" for refund and they denied to pay as it was booked from third party ""booking.co.nz"".When we contacted ""booking.co.nz"" they clearly said no to refund . Felt cheated and annoyed to see these things happened in the first world countries.Anyways , my 2 cents, if you want to book a trip , book directly with the tour company not with any booking.co.nz type websites which doesnt gave any guarantee. They dont worth it .        "	                1	1	Saturday	booking	negative
6	            I feel like I've been lied to that i could appeal the non-refundable cost because nobody would give me a straight answer as to who has authority over the cost. Booking.com said they needed to contact the hotel (Best Western London Queens Crystal Palace) but when i contacted the hotel directly they said it was up to booking.com. Very unhappy and feel cheated out of £109 by a stingy company who doesn't care about its customers and only care about profits.        	                1	1	Friday	booking	negative
7	            Can't say a bad word about them really. After booking an apartment with Booking.com almost a year in advance, the company sent nobody to meet and greet us as promised therefore we had no key and no access to the property.The company wouldn't answer their phone, so Booking.com tried 3 other numbers they had on file for the company, when they went unanswered Booking.com arranged us alternative accommodation. All within 30 minutes of us calling them initially.        	                1	5	Friday	booking	positive
8	            no hot water no response to the complaint        	                1	1	Thursday	booking	negative
9	            I'm surprised with seeing booking.com having such low rating, I used their website for many years and it have never disappointed. I love that they have a much more extensive filtering option, while still lacking some options, provide more flexibility and easier search criterias than some of the other sites I also used. It's no surprise that the most vocal people are the ones disappointed, and as such, ratings will always be skewed towards the negative spectrum. This includes me. In trying to improve on that, I hope people would also post their positive experiences, and not just their bad ones.        	                7	5	Thursday	booking	positive
10	"            Which was totally bizarre, because booking is supposed to be the cheapest, right? Well, not the case at all. Plus, rooms were ""sold out"" on booking but more than available on the hotel's website!        "	                2	2	Thursday	booking	neutral
11	            You will not get a refund or an excuse if something goes wrong. Currently in Sydney I got a room inhabited by cockroaches and other bugs you do not want to share a room with and it was terribly loud until 3am. A breach of contract but booking.com does not want to help. Tried this company three times in two years and two times without luck. No excuse, no money back. Never again booking.com  - Try a better company for your holiday times!        	                1	1	Thursday	booking	neutral
12	            I have had the worst experience of something I thought would take 10 minutes to resolve but after weeks of trying still has not been resolved . I was browsing through my bank statement and noticed £734 had been debited out if there and needless to say I was confused as I had not booked a personal hotel for months. After some investigation it turns out that instead of debiting my company's card for a booking I was doing for a client they had taken the money off one of my stored personal cards instead. On contacted them and going backwards and forwards for weeks. Including me trying to pay on a different card. They are refusing to swap teh payments around . So effectively they have stolen £734 off me and are refusing to give it back. I am not really sure what to do.Avoid the company like the plague if you are going to have any customer service or paymnet issues because they are surely not going to be.        	                3	1	Wednesday	booking	negative
13	"            Booking.com - Avoid at all costs. Used Booking.com to find accommodation for 29/11/19 on Sunday 2/12/18 (Almost a full year in advance). I searched on booking.com specifying I only wanted no cancellation charges and no prepayment charges. Booked a room for one party 2 A &amp; 1 C thinking it was what I requested no cancellation and no prepayment charges. Went to book the other room for our party 2A &amp; 2C - no rooms available they do not accommodate families.Never mind, cancel that booking and book us all into a different hotel. No, not an option - our party will now be separated in different hotels in Edinburgh because Jurys Inn will not let Booking.com cancel my booking without charging me the full rate even though the booking is 29/11/19 - almost a full year away! Jurys Inn replied t my query saying Booking.com had to reply.  Booking.Com replied saying Jurys Inn wont remove the cancellation charge!Who do you believe?!I advised Booking.com I didn't think it was acceptable that their website brought up all other room options even though I specified ""No Cancellation Fee"" and ""No Prepayment"". I was just told yes it does that.  Very misleading!        "	                3	1	Wednesday	booking	negative
14	"            Booking.com canceled my reservation and didn't inform me...NO NOTIFICATION. They claimed it was a ""glitch in the system"". When I found out the day of my reservation, they suggested I book a new one (I'm now on the way from the airport). After complaining, they said they would call me back with suggestions. No call back. They sent an email with alternatives that were really far from my original booking, and totally unacceptable quality (it was a work trip). I finally got one of them to say they would reimbursement for the difference if I rebooked at a similar place. Even still, I booked a worse hotel, far away, for more money. Following the booking they refused to pay the difference, and claimed that there was nothing they could do. When I asked for an explanation, they said they couldn't give me one, as it is ""Sensitive Information"". When I informed them that I recorded all conversations, they got very quite. No supervisor or manager available. This is a HORRIBLE company, with no ethics. They repeatedly admitted they were in the wrong, but there was nothing they could do, and furthermore no information could be given due to ""sensitive information"". DO NOT USE THIS COMPANY!        "	                1	1	Wednesday	booking	negative
15	            Very poor and very disappointed CS although promised my booking payment back for a cancellation 21 Dec total £300 for millennium hotel London due to very serious illness of my husband now in hospital for a number of weeks- agreed due to the circumstances they would contact the hotel to reimburse- today I was told not the case.  Never will I book with booking .com nor the hotel extremely rude and aggressive staff - appaulling attitude and mercenary and inhuman people I hope that this never happens to them or their families I am so upset. You should all be ashamed - criminal Denise        	                13	1	Tuesday	booking	negative
16	            DO NOT USE RIDEWAYS A Booking.com company! Booked a taxi for return journey to the airport in Prague and the taxi never turned up, I then at one hour rang the taxi firm in Prague no answer! I then rang Rideways in UK and he had no answer from Pratransfers so just told me I had to book a new taxi myself or I would miss my flight! Asked the apartment staff in Prague to help me and booked a new taxi using Uber which was cheaper FYI and then ran through the airport and just made our flight. Rideways offered a refund and 10% off our next trip which is a joke as I will never use this company again the stress was to much. Also to note the taxi that picked us up from the airport which was also booked through Rideways was just an unmarked white Astra all very dodgy to me.  YOU HAVE BEEN WARNED!        	                1	1	Tuesday	booking	negative
17	            Extremely unhelpful with a situation I was stuck in. This person I was on the phone to had no idea what my situation was about after explaining to him several times what exactly it was about and then wasn't understanding at all as well as giving me false information. This resulted in him hanging up the phone due to his frustration. He had no clue whatsoever. I then called up again and explained my situation to a woman who sounded like she had little customer service experience. She then put me on hold for a moment and hung up. Finally I spoke to someone who clearly had a lot of experience and once he explained everything clearly I was able to move forward with the problem. I spent half a day trying to resolve a problem and some of your team are incompetent!!!!!!!!!        	                1	1	Monday	booking	neutral
