	review_contents	review_numbers	review_scores	review_weekdays	company_name	sentiment_compound
0	            I will never book through Expedia again. I wanted to cancel my reservation due to change in plans, and they stated that they could not refund the money but they could change it. I then asked if I change the date and the price is difference, will I get the difference back and they stated that I would. Now they are saying that they cannot refund me my difference because they did not take the money, the hotel did.        	                1	1	Monday	expedia	neutral
1	            I really regret and feel bad that I have been a customer with Expedia for more than 4 years!         I booked a flight with Royal Jordanian Airlines flight from Riyadh to Amman to Barcelona, on December 13 through Expedia. However, I just got a call from Expedia on December 7th tilling me that my flight was cancelled! I told the Agent that I paid for a protection plan; dose protect me in such of like this situation? The Agent told me “ Yes sir”, we will cancel your flight with Royal Jordanian Airlines and we will book a similar flight for you ( with Turkish airline). I ask the agent a clear question, am I going to be the one who is responsible for the extra charges? The agent said no, and we ( speaking on behave of Expedia) will get back to you with in less than 24 hours. However, I received no respond after 24 hours. Then, I called Expedia but the other agent told me something totally different. She said that we have to wait more; and if there is an extra charge for booking the other flight, I will be paying for it. I told her that the agent yesterday told me something different but this could not help. I was on the line for almost 3 hours trying to get any solution! At the end I had to book a new flight from Riyadh to Amman to catch my flight from Amman to Barcelona, and I paid for the whole amount! After being a loyal customers with expedient for more than 4 years, I will never do any of my booking with a company that not honest, not helpful, and does not give any value to its customers!        	                1	1	Sunday	expedia	neutral
2	            Don't trust this company at all, don't deal or book any reservation through Expedia, they do fraud, and whatever they offer don't trust them, just they want your money and will not responsible for anything and they don't take care of there customers, they don't care except your money, Pay and them make a claim, this is their policy        	                1	1	Sunday	expedia	negative
3	            Booked a Vacation Package all ok, 1.5 hours later received a cancellation, stating Credit Card problems, called my Provider, no problems at all, Hotel and Airline both charged to my Credit card. Sent 2 emails querying what happened, NO answer. Contacted the Customer Portal, NEVER replied. Called Customer service, told was passed to a Specific Team and they would call me within 3  Hours....NO CALL. A shambolic Company, beware their Insurance Scams via Worthless Policies        	                1	1	Friday	expedia	negative
4	            I've booked with Expedia bunch of times. Usually goes well but when you need to change/cancel, it's a pain.        	                2	3	Friday	expedia	negative
5	            Worst customer service I have ever experienced. Constantly contradicting themselves and giving no solution to any problem.        	                1	1	Friday	expedia	negative
6	            Will never make reservations through a third party, especially Expedia.com.        	                1	1	Thursday	expedia	neutral
7	            WHY IT PAYS NOT TO BOOK HOTEL ACCOMMODATION THROUGH ONLINE HOTELBOOKING SITES SUCH AS EXPEDIA.Expedia cannot be graded. It does not deserve any stars. Being in a hospitality industry, Expedia has failed to learn the first rule of building a satisfactory relationship with its long time loyal customer.Very recently, although expensive, at a personal cost of £307.85, Expedia has taught me a lesson on HOW TO SAVE MONEY ON HOTEL BOOKINGS. I am sharing this lesson so that you fellow travellers also can save substantial amount of money on your hotel bookings.Towards the end of September 2018, I had booked a hotel accommodation in Switzerland through Expedia. Unfortunately, the accommodation did not turn out the way Expedia had presented on its site. After returning home I filed a complaint. Expedia refused to accept my reasons for being unable to occupy the room and to acknowledge that it had misrepresented the hotel facilities on its web site. Instead, it offered to refund me £50.00 voucher for the inconvenience. Upon further complaining, it even had the audacity to say that the refund of £50 was a final gesture and the complaint could not be entertained any further and I should consider the matter closed. I somehow managed to escalate my complaint and after a long time it further offered to refund £100. However, I requested for the full amount of £307.85 which I had paid for the accommodation which was just not suitable to occupy. Since the hotel itself could not arrange a suitable alternative accommodation I was forced to search for another hotel, very late at night, in an unknown country. To my dismay I quickly found that most hotels close reservations/check in for the day by 10.30pm in Switzerland. But luckily enough, I found an understanding manager at another hotel to provide accommodation for the night.Expedia, as of today, has not replied to my last email of 17th November 2018 nor has it refunded my £307.85. Expedia call centre staff spent considerable time pretending that I did stay overnight at the hotel before finally admitting that I did not occupy the room. One manager even absurdly declared to me that this did not sound like a fraud case!!! It took Expedia a long time to really realise that this was a genuine concern. I gradually understood that these were their tactics to passing the buck from one manager to another and delay taking a decision.Needless to say that £307.85 will really reflect a huge increase in Expedia profits on their accounting date but at the cost of a loyal customer now permanently lost.Why it pays NOT to book through online hotel booking agents:I realised this on the same holiday in Switzerland when I stayed at another 4 star independent hotel. At its reception were notices urging guests to recommend to their friends to book their stay with the hotel directly and save up to 30% on accommodation tariff as compared with online hotel booking sites. I also learnt from the same hotel about the exorbitant commissions charged by the online hotel booking sites for advertising them on their websites. After paying hefty commissions to businesses like Expedia their well being is greatly affected and standard refurbishments of the facilities become impossible with meagre profits left for survival.There are many advantages of booking a hotel directly:1. Most independent and chain hotels will give you considerably lower rate of accommodation as compared to online hotel booking sites like Expedia.2. It will give you a precise idea regarding the accommodation offered because it represents its own business and would not like its reputation to be jeopardized in any way. Besides personal attention they will only offer exactly what they have rather than companies like Expedia which rely upon information/description as given to them and ending up with incorrect representation of the facility. Such marketing dearly costs hard earned money for travellers who book at such sites in good faith but in return do not get what the site advertises when they actually arrive at the hotel. Companies like Expedia and its associated businesses perhaps rely on travellers’ experiences who have visited/stayed at their advertised hotels. Perhaps this is another way of adding profits by categorising reviews written by travellers. It is like selling sugar syrup labelled as honey.3. Research has shown that more and more independent and chain hotels now focus on direct bookings as part of their overall business strategy. They have seen a big percentage increase in direct booking through loyal customers. With direct booking, middleman/online hotel booking sites, who charge high commissions and force their terms and conditions to such hotels, become obsolete. Commissions so saved enable hotels to pass on lower accommodation rates and additional benefits to guests which otherwise would not have been possible. At the same time the hotels see increase in their profit margins. Hence both the traveller/guest and the hotel benefit leaving out online hotel booking agents/sites.FINALLY, HOW TO USE ONLINE HOTEL BOOKING SITES SUCH AS EXPEDIA TO MAKE HUGE SAVINGS:Simply visit their site. Check out the location and the hotel where you would like a reservation. Find the hotel details from Google. Directly phone or email the hotel. You would be surprised to know how much you could save by just directly contacting the hotel.Save a lot and have a great holiday.The trend for hotel booking is changing. Book directly with the hotel.Say bye bye to online hotel booking sites.2nd December 2018.        	                4	1	Sunday	expedia	positive
8	            flew to usa,on arrival discovered when picking up car that my hubby had no credit card ,every thing was booked on my credit card,but as he was main driver car dollar could not give us the car,was advised by them to hire car for 1night to get to our hotel and contact expedia to issue new car agreement with change of name,and pick up our car next day,car agent said this would be no problem as it is a regular occurance.hotel kindly phoned expedia and explained situation,and their agent(verydifficult to understand her accent)asked to speak to me,2hours later still on phone,very unhelpful said they could not issue change of name on car agreement,and told me i could hire a car in my name at cost of $1000,and they would refund me the original £232that the first car had cost with the flight,hotel &amp;car package,got no satisfaction and was so stressed out and fustrated ,i could have screamed.i was willing to pay small fee for change of name,but to rehire car is ridiculous.unfortunately thats what we had to do in the end as i wasnt prepared to let it waste the remainder of our holiday ,cost us another $900,expedia was of no help when i complained on returning home,said it was their policy what a load of bull----,have used expedia in the past and found them to be very good,but the minute problems arise they are most unhelpful,so beware dont use this company        	                1	1	Friday	expedia	neutral
9	            WORST travel website I advise you not to book via Expedia, I’ve been on the phone to him for 1 hour attempting to get a refund on a hotel within 10 minutes of booking as the website had a malfunction and it booked me into wrong dates. The customer service was absolutely dreadful and the man on the other end of the line giving the customer service was extremely rude and aggressive, it took a call to the manager of the hotel and several staff to call them to clarify I am able to get a refund. EXPEDIA IS A SCAM AND WILL KEEP YOUR MONEY. Worst bloody hour of my life.        	                1	1	Thursday	expedia	negative
