	review_contents	review_numbers	review_scores	review_weekdays	company_name	sentiment_compound
0	            I recently booked a hostel in Argentina and entered the dates for January 2019 , 26th to 29th January, but before checking out realised that it was only for 3 nights instead of 4 (you have to enter the date you are checking out, as opposed to the dates staying). So clicking on change details, I re-entered the dates 26th to 30th, but  the booking still reverted to 3 nights...I did this 3 times with no success, until I had to close the website down and restart the booking. So I checked the dates again 26th to 30th and booked. The confirmation indicated December dates instead of January. This was a non refundable booking which for 4 people for 4 nights was a big loss to incur. I realise what probably happened when re-trying, but got no joy when speaking to Elaine at Hostelworld and have now lost money for which I don't think is good customer service in view of the very frustrating circumstances. The hostel say Hostelworld take the deposit so they can't refund it.It's not as if I was changing my mind about the dates, but their website that made it tricky. I'm sure they could verify my attempts if they checked and show some goodwill!. Customers beware!        	                1	1	Sunday	hostelworld	negative
1	            Zero or less would be the true rating.I booked a month in advance a hostel in New York at the beginning of October 2018 - the booking was for one week (7 days). When I arrived at the hostel I was told I do not have a reservation and the hostel is full. When I produced my reservation the statement shrunk to 'there are no rooms'. Hostel staff blamed hostelworld for overbooking them and made absolutely no effort to find alternative accommodation for me. Hostelworld did not pick up the calls I maid and did not respond my desperate emails until the next day. I spent a couple of hours on my phone trying to find a place to sleep with no luck. When the phone battery was almost drained I gave up. I went to the airport and flew back to Canada (home).Since then I had several email exchanges with hostelworld. Their explanation is that the hostel's booking system had an error and the booking was not registered - this is in spite of the fact that I received the confirmation and  two reminders about it - could not get a clear explanation from them on how this can be.Hostelworld nonchalantly stated that 'things like this happen from time to time and that's why we reimbursed you' - now isn't that generous of them!Upon request, they gave me my hostel deposit back 6 weeks after the incident.They ruined my vacation, caused me money loss (I had to pay a penalty for airfare exchange) and then brushed me off.Hostel staff and Hostelworld couldn't care less. Lamentable customer service.        	                1	1	Saturday	hostelworld	negative
2	            I posted here on September 13, 2018 about getting a refund on my cancellation credits. A service which I had to pay extra for. I dealt with Elle and Lucy over email since September 11, 2018. I was informed that a wire transfer for my money was sent October 18, 2018. Lucy indicated it was my responsibility to find the transfer as they have sent it. My bank informed me that is false and that the sender has the initial responsibility to investigate since it is much easier to check if there was an error in sending (i.e. wrong account number was used). I am getting a runaround and have since cancelled all bookings made through them.Update December 4: Lucy now says my transfer was sent November 30 after having strong convictions it was sent in October and that it was my bank's fault that I haven't received my money. She is also saying that I requested a bank transfer instead of a credit card refund so again my fault for so much effort in getting my money. I showed Lucy the email trail, she's the one who suggested the bank transfer. It's shameful how people try to lie when it's all documented.        	                2	1	Saturday	hostelworld	negative
3	"            Update on Nov 28, 2018:HostelWorld reply below doesn't add anything new at all.  In fact, my email to them on Nov 11, 2018 (Request #2799939) asking for help still remains unanswered!!Original Review:My two recent experiences with HostelWorld.com tell me this is a worthless, fly-by-the-night company out to fleece end-customers and just make a quick buck.(1)	Experience with HostelWorld.com booking Backpackers Hostel in Santa Cruz, Bolivia:I recently flew to Bolivia but was denied visa-on-arrival and had to return back.  I asked HostelWorld to refund the moneys I had paid and ask the Hostel to do so.  I have received wooden, lawyerly response five times now – none of them helpful in any way.The hostel initially charged me, I left a review to that effect clearly stating the facts, hostel probably complained to HostelWorld so to protect their bread-butter clients, HostelWorld removed the review.  When I complained about it, they said (1) since I didn’t stay, I can’t leave a review (meaning customer has no rights) but (2) the property can still charge (go HostelWorld and your clients, screw the customers!!).  The charge by the Santa Cruz Backpackers is back on the credit card which I have disputed.(2)	Experience with HostelWorld.com booking Backpackers Hostel in Salta, Argentina:To make a few quick bucks and to keep their clients, HostelWorld will list anyone who has four walls, floor, and a roof – the best example of this is Backpackers Suites and Bars, Salta, Argentina.  So many people have left bad reviews stating the facts but no action has ever been taken by HostelWorld.  The dorm bed given to me was so bad I had to upgrade paying four times more to a single room.  Even in that room, there were so many issues that I emailed HostelWorld on Nov 11, 2018 (Request #2799939) asking for help but no one has ever responded to it.  When I left the review stating the facts, HostelWorld emailed me saying:“The information about each property on the website should be accurate and is uploaded by each property individually. All complaints are taken very seriously and recorded.Thank you for your comments as it is through feedback from our customers that we can provide a higher standard of service”.One can only wonder what higher standard of service HostelWorld provides, when they don’t even respond to the email complaint or try to fix anything?  Only higher standard of service provided is to their clients (the properties) and their management, not to the paying guests.Here’s what I plan to do: stop using HostelWorld and start using booking.com and Airbnb, file a complaint with the Mass department of Housing against HostelWorld for putting me in a situation that was dangerous and life-threatening, and dispute the charges with credit card.I invite all fellow travelers to share their experiences here so we can drive such useless, worthless companies off-market.        "	                6	1	Friday	hostelworld	negative
4	            Very poor experience with this company.  They were going to charge me $536 us dollars for 5 nights for a hostel.  When I called the hostel directly to question the high fee  they told me they could get me a private room for $266 us dollars for 5 nights.  The website might be a good place to explore options but I highly advise booking directly with the hostel.        	                1	1	Monday	hostelworld	neutral
5	"            HW used to be great back in the days when they were still a relatively small ""serving hatch"" for hosteling accommodation. I have been a member since 2008 with around 200 reviews and if you weren't there or have forgotten, don't worry I'll refresh your memory. They used to have a much better logo with the two resting backpackers in a bunk bed resembling a big H. There was a point system, for every booking you make you earn points, leave a review you get more points, with the accumulated points you are rewarded all kinds of perks, like tees, vouchers or a gold card. With this gold card you could book free of service costs (€1.50 each time) for an entire year. And the best things were the periodical deals, there were promotions like three nights get one free, get extra booking credit (to book a rate of choice whenever you want or need it for % off) or book and get free Skype credit. All of these deals are rare nowadays after HW has become a too big player, where have all these deals gone? I haven't seen any in the past 4-5 years? OK to be fair these deals are in general offered by the hostels and there was more variety in the deals such as 50% off a ski pass if you book between dates such and such or book in November get % off surfing lessons just to name something. There used to be a small section where maps/reviews/facilities used to be and HW must have removed that section so hostels cannot promote their deals anymore. The website looked much better and was less flashy, less fashion over function. What does the thumbs up, superb staff or excellent cleanliness mean to anybody? Now all of what I feel was great has disappeared. All my accumulated points have been deleted after the last, of the many, make overs without letting me know. It is just gone without any warning, after being a long member. But what I think is most annoying change is the increased commission fee. Because in the past it used to hover around 5%. I don't know if rates on HW are artificially inflated to shove the commission fees into our shoes or that HW pockets a large chunk of the hostel rates. Because of this new system, I have either booked directly with the hostels in question or switched to booking.com, because what is the point anymore to keep using HW these days? Make HW great again!updated: was pointed out by a like-minded former HW user that it's possible to watch back the old sites with the wayback machine archive (google this). You can go as far back as 2001 to see what it looked like as they keep several records of the old sites. Makes me glad I traveled during the golden years with the gold pass. HW can delete my points and abolish the point system, but they cannot wipe out history.        "	                6	3	Monday	hostelworld	positive
6	            There is no customer service at all. I’m very disappointed and will not do business again with them.        	                1	1	Thursday	hostelworld	negative
7	            What can I say...the beds are great, there's a sunset view, refreshing pool, cheap beer, the best woodfire pizza, lots of cool people to meet. Can't believe it's as cheap as it is!        	                1	5	Monday	hostelworld	positive
8	"            Absolute worst case scenario: I booked my hostel three weeks before I arrived, received my booking confirmation and reference number, then arrived at 3am to find my booking had NOT been made, the number they provide is not connected and nobody responded to my 20 odd emails demanding urgent assistance (as per their 24/7 customer service guarantee).  I had to contact the Salvation Army to put me up in emergency accommodation as everything else in Melbourne was booked due to the same event I had travelled there for.  Two days later (when I returned home) I found a couple of emails saying ""yo what's the problem?"" like I hadn't clearly explained it in 20 separate emails.  They are now giving me the run around with further insulting responses like ""we can see your booking, was there a problem?""  I've never ended up in such a helpless situation and it was all because of this company a) not booking my hostel and b) not responding to my customer care enquiry.  They did NOTHING.  The Salvation Army paid an $80 cab fare to put me up for 2 nights in a motel 2 hours out of town.  My weekend was completely ruined.  Still no closer to getting in contact without someone at Hostelworld besides generic email responses.  Unreal.  NEVER again.  I've used this overseas and I'm terrified now that this could have happened where I didn't even speak the language or know which local homeless charities existed.  Like you should need to.  Wow.  Mind blown.        "	                4	1	Monday	hostelworld	negative
9	            This company allowed someone else to use my personal email to book in France with a scammed credit card and my personal information. I contacted them to the customer service, by call and email to cancel the account that I never opened, with no results. Warning people!  With this company everybody can use your name and last name to book with a scammed credit card, their system doesn't require any confirmation email!The worst of the worst, I'm thinking to bring them to the court because this IS NOT LEGAL AT ALL AND THEY DIDN'T MOVE A FINGER!Cristian Cappai        	                1	1	Wednesday	hostelworld	negative
10	            I used Hostel word regularly on my mobile when travelling around Europe.  Great for finding hostels and booking a couple days in advance.        	                2	5	Wednesday	hostelworld	positive
11	            very very bad service...please never book through this website..i have very terrible experiance...        	                1	1	Tuesday	hostelworld	negative
12	            Orlaith I spoke to CS Elaine on Facebook.Booking reference 43540-394430157.She is saying that I won’t get a refund cause this booking is non refundable. Hostel staff of Villa Saint Exupery stated they won’t refund me. I only received a reservation number from Hostelworld. No confirmation. I wasn’t sure if I will land a bunk bed in Nice when I get there so I cancelled it and booked another hostel. Usually there is the word Confirmed Booking in there. I wouldn’t cancel this booking if it clearly stated that this booking has been confirmed! After cancelling the booking, that’s the time the hostel charged my card. I have been a user of Hostelworld for years. I’ve done rebookings and cancellations and this is the first time this happened. You and the hostel won’t sort it out. No business ethics at all. I am paying for something that I will not use.        	                4	1	Tuesday	hostelworld	neutral
13	            I am never booking a hostel outside this platform! I love it!        	                2	5	Monday	hostelworld	positive
14	"            No more booking with Hostelworld and I'm warning you against it.They don't help you in case of any difficulties in booking and rarely reply on emails, the all they do is taking their fee for the booking. I made a complaint about being charged by hostel X Bucharest for rejected booking on the base of restriction, which was not mentioned on the page while we were booking. The X Hostel added that information afterwards, but the Hostelworld customers service wrote: ""Please be aware that there is no way for us to check when a property makes amendments to their descriptions."", and when we sent to them the screenshoot of the previous version of the hostel page they didn't even answer to our emails (we mailed for the answer three more times).This is obviously fraudulent practice: they offer something then they change the offer but you can't withdraw your money.        "	                1	1	Wednesday	hostelworld	negative
15	            Very poor customer service, tried to book through the web site but it crashed , contacted them via they’re web page but only got an automated reply to say they were busy , contacted them again next day again but no reply to confirm if booking had went through. Had to ring the hotel directly.... was charged £13 for the international call !        	                2	1	Sunday	hostelworld	negative
16	            I booked accommodation through Hostelworld and paid deposit. I received an email from the accommodation informing me that the website had not been updated and the dates I had booked were unavailable. They said I would not be charged any money.I contacted Hostelworld several times with these deatails and asked for my deposit to be refunded back to my card, no response.Eventually I did get a reply to yet another email asking me for a screenshot of the email from accommodation cancelling booking.Sent that, several emails later......Hostelworld won’t refund my deposit back to my card only to my Hostelworld account to be used for certain further bookings.I just want my deposit refunded for a booking that never took place. Is that so difficult.The person dealing with my request, Roisin deliberately ignores the fact the booking never got made and just keeps repeating ‘you will be credited with the deposit as credits to your Hostelworld account’I think after this experience I prefer to book direct with a place. I want my deposit back.        	                1	1	Thursday	hostelworld	neutral
17	            They don't even have a customer service department as far as I can tell. Website works only to allow you to book, but changing bookings, cancelling or similar and it either won't work at all, or it will say it has, and you'll be charged a no-show fee as they haven't actually changed/cancelled your reservation.Feels a lot like an actual scam. Won't be using them for the next 11 months of travelling, and will be telling anyone I meet not to either.Regarding the reply, I did change my booking via the website, but the change wasn't processed despite it saying confirmed. I have been cut off 10 times now attempting to contact the phone line, and the customer service representative who emailed me eventually answering completely different questions to what I'm asking.        	                1	1	Thursday	hostelworld	negative
18	            They won’t refund or even reply on your emails,Simply I reserved 3 bookings through hostleworld.com but unfortunately for a trip itinerary changes occurred , I had cancelled these reservations and make a new bookings with a new dates or different hostels;Even so I cancelled these bookings in the same day, my bank informed me that they confirmed charging my card with these transactions ! 1- Reservation Number: 19865-397089239 (St Christopher's Inn Canal, Paris) Total Paid: €30.512-Reservation Number: 87612-397220690 (Avenue Hostel, Budapest) Total Paid: €16.013-Reservation Number: 6251-397220839 (Shelter City, Amsterdam) Total Paid: €22 I tried to contact them by mail many times but still no reply I’m considering it as robbery lesson learned, not yo use this website again.        	                1	1	Tuesday	hostelworld	negative
19	"            This company is absolutely atrocious. I cancelled a booking more than 48 hours in advance of my arrival and they tried to charge me for my ""late"" cancellation (one night's charge). I contacted the hostel myself and told them I cancelled well in advance and they thankfully agreed not to charge me. I will never use this company again and from now on I plan on booking directly for whatever place I stay at.        "	                1	1	Friday	hostelworld	neutral
20	"            HostelWorld states that they have ""no booking fees or unexpected hidden costs""...they charge a 13% commission that they title ""Payable Now"". It appears as though it is a deposit when you are making the reservation. I thought it would be applied to my room rate, however, it was added to the ""Total Cost"" when the room was booked. I contacted the company and spoke with Sara and Lucy. The issue has not been resolved. Would not recommend HostelWorld.com unless you want to pay more than you need to.UPDATE 9.11.18 Lucy from Hostel World contacted me by email and said that if I found the same room for less, I could request a refund of the difference under their ""Guarantee"". I found the same room for 40€ less, submitted the request with photo, it was denied. So not only is the advertisement of no booking fees fake, the ""guarantee"" is also fake. I would recommend finding the hostel you want to stay with and then contact the hostel directly to book.        "	                2	1	Tuesday	hostelworld	negative
21	            Do not trust Hostelworld.comI booked a reservation through them, called the B&amp;B Devoto bed and breakfast to confirm. After arriving in a foreign country by plane, I took a taxi to the B&amp;B Devoto at the precise time they told me I could check in only to find nobody was there, and nobody would answer the phone. I called five times and no answer. I wasted a forty dollar taxi ride only to have to pay for the ride back to a hotel. I contacted hostelworld.com and they made up lies just to keep my deposit. I ended up getting charged for a place nobody was at! Thank goodness I did not stay there, who knows what I would of encountered.        	                1	1	Friday	hostelworld	negative
22	            Hostelworld are a disgrace. I will not be using you again.Customer service is dreadful considering that on the day I arrived at the hostel you informed me that you would not honor the price which I booked and paid a deposit for. You also said that I either paid the new price or you would refund me my deposit. When I informed them that there were no other hostels in Hong Kong left, they said that they would still not pay the price difference so I had to pay difference myself or sleep rough.        	                1	1	Wednesday	hostelworld	negative
