	review_contents	review_numbers	review_scores	review_weekdays	company_name	sentiment_compound
0	            Priceline made everything so easy and convenient.  I used Express deals for a 4 star hotel and they put us in an amazing hotel at a great price! I will never use another website. Priceline is ideal!        	                1	5	Tuesday	priceline	positive
1	            I’m a huge fan of priceline; when no one else comes through with a reasonable, last minute booking, they deliver!        	                1	5	Tuesday	priceline	neutral
2	            The satisfaction is guaranteed for us, we have a good experience with Priceline. Im glad I choose this. Thank you it helps us a lot.        	                1	5	Tuesday	priceline	positive
3	            Great services and prices        	                1	5	Tuesday	priceline	positive
4	            This hotel was very clean, spotless to be exact. Hotel staff was courteous,  friendly, and extremely helpful.        	                1	5	Tuesday	priceline	positive
5	            Priceline was really user friendly and offered very competitive discounts on their hotel Express Deal. Each hotel we booked using the Express Deal was excellent and lived up to expectations. Would highly recommend Priceline to my friends.        	                3	5	Tuesday	priceline	positive
6	            Love Priceline        	                1	5	Tuesday	priceline	positive
7	            Good prices and easy to book rooms        	                1	5	Tuesday	priceline	positive
8	            Good. Nice. Pleasant. Met excpectations. Would use again. Would recommend. Good.        	                2	5	Monday	priceline	positive
9	            Have used Priceline since its very beginning.        	                3	5	Monday	priceline	neutral
10	            Easy check-in and conveniently accessible... Ideally when in downtown Toronto        	                1	5	Monday	priceline	positive
11	            needs more options on the app and free nights for loyal customers        	                2	3	Monday	priceline	positive
12	            Priceline has been instrumental in me finding hotels for the cheapest rates.Thanks Priceline.        	                1	4	Monday	priceline	neutral
13	            The staff was great. Hotal not so much. It's a business hotel. Not for children. It would have been perfect for a solo or couples trip. Leave the kids at home if you are staying here.        	                1	3	Monday	priceline	positive
14	            The price higher for Dubai compare to other website, and bidding doesn't give u good saving, u can go directly to competitor website and get good offer. Most hotels without breakfast so that mean no saving at all you pay money for breakfast        	                2	1	Monday	priceline	negative
15	            Good will use again        	                1	5	Monday	priceline	neutral
16	            Great service and easy to book. Would definitely use again        	                5	5	Sunday	priceline	positive
17	            Great little hotel with super friendly staff right off the Gatlinburg strip. Features a breakfast restaurant inside hotel that also offers great food and service. Indoor pool with hot tub and waterfall are definitely an added bonus.        	                1	5	Sunday	priceline	positive
18	            To many travel sites out now. Most of them have the worlds worst adds or spokes people. Price line has remained easy to use. Plus their advertising does not turn me off        	                1	5	Sunday	priceline	neutral
19	            Great hotel with friendly staff. The room is clean and cozy. Even the guest we're super friendly, giving it all a family vibe. The free bike service is a great addition for getting around Long Beach.        	                1	5	Sunday	priceline	positive
20	            Hotel Adeline in Scottsdale they overcharge you on the way out a resort fee they call it . They don't have a refrigerator they don't have microwave or jacuzzi they are not a resort , it's just a Motel 6 repainted no fun.        	                1	1	Sunday	priceline	neutral
21	            Easy to use generic booking site but didn't receive email/SMS confirmation of booking.        	                2	3	Sunday	priceline	neutral
22	            Very easy process and good pricing.        	                1	5	Sunday	priceline	positive
23	            Excellent – no reservations, I would recommend PRICELINE to anyone.        	                3	5	Sunday	priceline	positive
24	            First time using Priceline and it found me the best rate on exactly the type of room I wanted! Even the clerk was surprised at the price I got! Thank you William Shatner!! I mean Priceline!        	                1	5	Sunday	priceline	positive
25	            I have used the site to find specific hotels, and also to find the best available hotel in a given area. In each case I have been pleased with the quality of the hotels for the prices I found on Priceline. The website is relatively easy to navigate, and all credit card transactions have been handled smoothly.        	                2	5	Sunday	priceline	positive
26	            Thank you .I appriciate  everything'        	                1	5	Sunday	priceline	neutral
